  dTime p-p@dt=0 Derivative
  2.293744347827076E+6         7.591491309713684E+6         3.634435879108943E+6        
  2.5736234877128E+6         8.019012747439642E+6         3.791735580703657E+6        
  2.887653047638744E+6         8.46457069218402E+6         3.946079407583793E+6        
  3.240000009071978E+6         8.927631109406963E+6         4.09663755464953E+6        
  3.635339802117287E+6         9.407856348657578E+6         4.242220993074325E+6        
  4.078918345634044E+6         9.904438591390897E+6         4.381364848533015E+6        
  4.576621657392232E+6         1.04167028873776E+7         4.513896648702044E+6        
  5.135053957952121E+6         1.094380170485261E+7         4.639344914981907E+6        
  5.761625304658618E+6         1.148495153162711E+7         4.757483904432558E+6        
  6.464649918600142E+6         1.203925285670316E+7         4.867560094122848E+6        
  7.253456509271044E+6         1.260574866282511E+7         4.970644260506329E+6        
  8.138512060878811E+6         1.318378599438498E+7         5.068834054809418E+6        
  9.131560722865129E+6         1.377289083617157E+7         5.159021428364707E+6        
  1.024577964763365E+7         1.437169457792392E+7         5.235697465385486E+6        
  1.149595384335643E+7         1.497845472969391E+7         5.306139486151476E+6        
  1.289867236204949E+7         1.559347834613987E+7         5.380503918659009E+6        
  1.447254842621422E+7         1.621736154128393E+7         5.449091215861638E+6        
  1.623846641499119E+7         1.684817796654065E+7         5.499580126931432E+6        
  1.821985898718277E+7         1.748368666308379E+7         5.543334722534376E+6        
  2.044301801839854E+7         1.812457795629904E+7         5.592805356263421E+6        
  2.293744347827072E+7         1.877147768721873E+7         5.640068172457773E+6        
  2.573623487712796E+7         1.942325164603619E+7         5.677775241944589E+6        
  2.88765304763874E+7         2.007883375056596E+7         5.710221476951911E+6        
  3.240000009071973E+7         2.073807873108858E+7         5.740731660033639E+6        
  3.635339802117282E+7         2.14006860648932E+7         5.768539273519314E+6        
  4.078918345634038E+7         2.206633398504421E+7         5.793428122158037E+6        
  4.576621657392225E+7         2.273467218803456E+7         5.815784949936546E+6        
  5.076621657392224E+7         2.333867799322733E+7         5.833784361614278E+6        
  5.576621657392225E+7         2.388743618966933E+7         5.848395701255205E+6        
  6.076621657392225E+7         2.439022439200594E+7         5.861065365698082E+6        
  6.576621657392225E+7         2.48541543781494E+7         5.871861149676139E+6        
  7.076621657392225E+7         2.528478849204294E+7         5.881161877645292E+6        
  7.576621657392225E+7         2.568660139460913E+7         5.889199328544481E+6        
  8.076621657392225E+7         2.606321015938852E+7         5.896277589833292E+6        
  8.576621657392225E+7         2.641758101396488E+7         5.902538963160743E+6        
  9.076621657392225E+7         2.675219912952733E+7         5.908111025325879E+6        
  9.576621657392225E+7         2.706915380076671E+7         5.913028865819125E+6        
  1.007662165739223E+8         2.737021657657306E+7         5.917559596948148E+6        
  1.057662165739223E+8         2.765690087808491E+7         5.921543946930189E+6        
  1.107662165739223E+8         2.79305172516125E+7         5.925288442637028E+6        
  1.157662165739223E+8         2.819220893686787E+7         5.928702414665675E+6        
  1.207662165739223E+8         2.844297221622614E+7         5.931825373308467E+6        
  1.257662165739223E+8         2.868368328999582E+7         5.934711285459583E+6        
  1.307662165739223E+8         2.89151160982249E+7         5.937375814123447E+6        
  1.357662165739223E+8         2.913795583342781E+7         5.93984653164929E+6        
  1.407662165739223E+8         2.935282169467074E+7         5.94214015281051E+6        
  1.457662165739223E+8         2.95602648243067E+7         5.94424112603809E+6        
