 	dTime	p-p@dt=0	Derivative
 	1.447254842621428E+5        	2.576079554628953E+5        	57963.1012870896
 	1.623846641499125E+5        	2.642846306154802E+5        	57991.28735222069
 	1.821985898718283E+5        	2.709609428409711E+5        	58092.7781687515
 	2.044301801839861E+5        	2.776609871176779E+5        	58341.49371626693
 	2.29374434782708E+5        	2.843945682143793E+5        	58874.66037616716
 	2.573623487712805E+5        	2.912173786514028E+5        	59819.21228871492
 	2.887653047638749E+5        	2.981684508634433E+5        	61328.60803656984
 	3.240000009071983E+5        	3.053388125153109E+5        	63559.43049503723
 	3.635339802117294E+5        	3.128035505811498E+5        	66652.68151681236
 	4.078918345634051E+5        	3.206861596021801E+5        	70758.78119839459
 	4.57662165739224E+5        	3.290963620597348E+5        	75974.86548082852
 	5.076621657392239E+5        	3.372469197987169E+5        	81893.63643463857
 	5.576621657392239E+5        	3.451901723245755E+5        	88339.40282058755
 	6.076621657392239E+5        	3.52995814443022E+5        	94736.74680327058
 	6.576621657392239E+5        	3.607108372898102E+5        	1.013927295812319E+5        
 	7.076621657392239E+5        	3.683513085080609E+5        	1.082560381979941E+5        
 	7.576621657392239E+5        	3.759484594261348E+5        	1.152276858617201E+5        
 	8.076621657392239E+5        	3.835161788261384E+5        	1.22318774710159E+5        
 	8.576621657392239E+5        	3.910562055308521E+5        	1.295026440221971E+5        
 	9.076621657392239E+5        	3.985763891558275E+5        	1.367560344702157E+5        
 	9.576621657392239E+5        	4.060878396505415E+5        	1.441705122304951E+5        
 	1.007662165739224E+6        	4.135935991104245E+5        	1.515174080939374E+5        
 	1.057662165739224E+6        	4.210920831536725E+5        	1.590576688574995E+5        
 	1.107662165739224E+6        	4.285777444428876E+5        	1.664529417832635E+5        
 	1.157662165739224E+6        	4.360630323721319E+5        	1.738660626978735E+5        
 	1.207662165739224E+6        	4.435491224254966E+5        	1.812515298678072E+5        
 	1.257662165739224E+6        	4.510363789502904E+5        	1.886732330992807E+5        
 	1.307662165739224E+6        	4.585246016783863E+5        	1.961054292369554E+5        
 	1.357662165739224E+6        	4.660021129769683E+5        	2.035574138395246E+5        
 	1.407662165739224E+6        	4.734786213648766E+5        	2.110181295283343E+5        
 	1.457662165739224E+6        	4.809575160672441E+5        	2.186104490182681E+5        
 	1.507662165739224E+6        	4.884390221287981E+5        	2.260691947762908E+5        
 	1.557662165739224E+6        	4.959230297835544E+5        	2.335452950522058E+5        
 	1.607662165739224E+6        	5.034091836130619E+5        	2.411531978989754E+5        
 	1.657662165739224E+6        	5.108969508201331E+5        	2.486167665153313E+5        
 	1.707662165739224E+6        	5.183714226448014E+5        	2.560970614641508E+5        
 	1.757662165739224E+6        	5.258477140927464E+5        	2.635782799217302E+5        
 	1.807662165739224E+6        	5.33326359404549E+5        	2.710596402626401E+5        
 	1.857662165739224E+6        	5.408074847947657E+5        	2.785411230592939E+5        
 	1.907662165739224E+6        	5.482910388553664E+5        	2.861272893000026E+5        
 	1.957662165739224E+6        	5.557768315613866E+5        	2.936098576165428E+5        
 	2.007662165739223E+6        	5.632645657279268E+5        	3.012178040865637E+5        
 	2.057662165739223E+6        	5.707538624076024E+5        	3.085737227132029E+5        
 	2.107662165739223E+6        	5.782382491482124E+5        	3.163445627352381E+5        
 	2.157662165739223E+6        	5.857148794186413E+5        	3.236550298981717E+5        
 	2.207662165739222E+6        	5.931932097454742E+5        	3.312953435793773E+5        
 	2.307662165739222E+6        	6.081556496339665E+5        	3.462400967251193E+5        
 	2.407662165739222E+6        	6.231259134863913E+5        	3.611828976770758E+5        
 	2.507662165739222E+6        	6.381031001297906E+5        	3.762692236912258E+5        
 	2.607662165739221E+6        	6.530854807701558E+5        	3.912028607260017E+5        
 	2.707662165739221E+6        	6.68047197391808E+5        	4.061599934478193E+5        
 	2.80766216573922E+6        	6.830076309828758E+5        	4.211211210858185E+5        
 	2.90766216573922E+6        	6.979740199158117E+5        	4.36331889569672E+5        
 	3.007662165739219E+6        	7.129464570615441E+5        	4.512708958691465E+5        
 	3.107662165739219E+6        	7.279244212410525E+5        	4.662421200445253E+5        
 	3.207662165739219E+6        	7.42906946816735E+5        	4.814662373718895E+5        
 	3.307662165739218E+6        	7.57892752994135E+5        	4.964010999863059E+5        
 	3.407662165739218E+6        	7.728508487962931E+5        	5.113662171702187E+5        
 	3.507662165739217E+6        	7.878124884091914E+5        	5.263295814552622E+5        
 	3.607662165739216E+6        	8.027786484362632E+5        	5.412903106616309E+5        
 	3.707662165739217E+6        	8.177495425464064E+5        	5.562489610700243E+5        
 	3.807662165739217E+6        	8.327250340636373E+5        	5.714144331329214E+5        
 	3.907662165739218E+6        	8.477047135146186E+5        	5.863748330161581E+5        
 	4.007662165739218E+6        	8.626879611065835E+5        	6.014588050521239E+5        
 	4.107662165739219E+6        	8.776739971175194E+5        	6.161479866334418E+5        
 	4.207662165739219E+6        	8.926490232926235E+5        	6.314743721577784E+5        
 	4.30766216573922E+6        	9.076086754515171E+5        	6.466043358610835E+5        
 	4.40766216573922E+6        	9.225714342763983E+5        	6.617094352231323E+5        
 	4.557662165739221E+6        	9.450222221366651E+5        	6.838824745371323E+5        
 	4.707662165739222E+6        	9.674813138469979E+5        	7.064960155751315E+5        
 	4.857662165739222E+6        	9.899482967093587E+5        	7.29067955915187E+5        
 	5.007662165739222E+6        	1.012422116161555E+6        	7.51604987204648E+5        
 	5.157662165739223E+6        	1.034901249464151E+6        	7.739945880277499E+5        
 	5.307662165739223E+6        	1.05736440004734E+6        	7.964034341856755E+5        
 	5.457662165739224E+6        	1.079805283489175E+6        	8.188372647499653E+5        
 	5.607662165739225E+6        	1.102251874584507E+6        	8.412685976161235E+5        
 	5.757662165739225E+6        	1.124704862262957E+6        	8.640902547143131E+5        
 	5.907662165739226E+6        	1.147164406114169E+6        	8.865774749740585E+5        
 	6.057662165739227E+6        	1.169630245701671E+6        	9.088017452108042E+5        
 	6.207662165739227E+6        	1.192101789576963E+6        	9.312808660758255E+5        
 	6.357662165739228E+6        	1.214578187859338E+6        	9.541681868247095E+5        
 	6.507662165739229E+6        	1.237058391467817E+6        	9.767190306495541E+5        
 	6.70766216573923E+6        	1.267003666860227E+6        	1.006346091540133E+6        
 	6.907662165739231E+6        	1.296926362145599E+6        	1.036343156510229E+6        
 	7.107662165739231E+6        	1.326857331160922E+6        	1.066395085094446E+6        
 	7.307662165739232E+6        	1.35679741630308E+6        	1.096488981015416E+6        
 	7.507662165739233E+6        	1.386746667881869E+6        	1.126533908080365E+6        
 	7.707662165739234E+6        	1.416704517325152E+6        	1.156722978600986E+6        
 	7.907662165739235E+6        	1.446669916583244E+6        	1.186754570676605E+6        
