  dTime p-p@dt=0 Derivative
  2.293744347827076E+6         6.589886405219324E+6         2.680265523940144E+6        
  2.5736234877128E+6         6.904989603602044E+6         2.796327203502237E+6        
  2.887653047638744E+6         7.233764538611122E+6         2.91739321244581E+6        
  3.240000009071978E+6         7.576744215740018E+6         3.043423550222362E+6        
  3.635339802117287E+6         7.934538708452024E+6         3.173732553486637E+6        
  4.078918345634044E+6         8.307523142420843E+6         3.307904674727515E+6        
  4.576621657392232E+6         8.696211907759313E+6         3.444951753807489E+6        
  5.135053957952121E+6         9.100752597860925E+6         3.584064867556194E+6        
  5.761625304658618E+6         9.52147334139517E+6         3.724161188874794E+6        
  6.464649918600142E+6         9.958272401601933E+6         3.864281513858725E+6        
  7.253456509271044E+6         1.041125704228953E+7         4.003195416429285E+6        
  8.138512060878811E+6         1.088004221062315E+7         4.139461774607537E+6        
  9.131560722865129E+6         1.136440333981252E+7         4.272639463808644E+6        
  1.024577964763365E+7         1.186385380433353E+7         4.402342603004032E+6        
  1.149595384335643E+7         1.237808018500549E+7         4.527279950770824E+6        
  1.289867236204949E+7         1.29062985369791E+7         4.645826564415716E+6        
  1.447254842621422E+7         1.344782128419143E+7         4.758249198637148E+6        
  1.623846641499119E+7         1.400192590433237E+7         4.86450410912595E+6        
  1.821985898718277E+7         1.456791474883959E+7         4.964427584065964E+6        
  2.044301801839854E+7         1.514502759936425E+7         5.057558253311769E+6        
  2.293744347827072E+7         1.573246057294206E+7         5.144624849636837E+6        
  2.573623487712796E+7         1.632962124814631E+7         5.227340475864118E+6        
  2.88765304763874E+7         1.693610019851498E+7         5.302824238317014E+6        
  3.240000009071973E+7         1.755064165233793E+7         5.365551706653849E+6        
  3.635339802117282E+7         1.817156413605797E+7         5.423295894744189E+6        
  4.078918345634038E+7         1.879940168055131E+7         5.486971833587366E+6        
  4.576621657392225E+7         1.943498609102762E+7         5.546469690508107E+6        
  5.076621657392224E+7         2.001248550020805E+7         5.585586441915978E+6        
  5.576621657392225E+7         2.053848138702241E+7         5.615117040803516E+6        
  6.076621657392225E+7         2.102172680243706E+7         5.643149603992129E+6        
  6.576621657392225E+7         2.14689296051819E+7         5.669168140722376E+6        
  7.076621657392225E+7         2.18853341621214E+7         5.692653658176798E+6        
  7.576621657392225E+7         2.227477642917188E+7         5.7132654769483E+6        
  8.076621657392225E+7         2.264052393794362E+7         5.730754642174264E+6        
  8.576621657392225E+7         2.29852471589356E+7         5.74617084836085E+6        
  9.076621657392225E+7         2.33112473255573E+7         5.759859170991532E+6        
  9.576621657392225E+7         2.362046403590176E+7         5.771993943624794E+6        
  1.007662165739223E+8         2.391454002278832E+7         5.783202131298166E+6        
  1.057662165739223E+8         2.41948773793859E+7         5.793079403414828E+6        
  1.107662165739223E+8         2.446270123976314E+7         5.802370096312014E+6        
  1.157662165739223E+8         2.471909036547707E+7         5.810855842742257E+6        
  1.207662165739223E+8         2.496498168822988E+7         5.818638080627663E+6        
  1.257662165739223E+8         2.520120102784275E+7         5.825843582871709E+6        
  1.307662165739223E+8         2.542847837767944E+7         5.832507928570472E+6        
  1.357662165739223E+8         2.564745820139008E+7         5.838696653518371E+6        
  1.407662165739223E+8         2.585873364442544E+7         5.844450779585451E+6        
  1.457662165739223E+8         2.606282880417097E+7         5.849732200449924E+6        
