 	dTime	p-p@dt=0	Derivative
 	28460.4989415153	2.601825517691523E+5        	57949.14431398876
 	31933.20503102167	2.668728893657476E+5        	58259.06867409046
 	35829.64534981461	2.7359719807522E+5        	58542.75251093957
 	40201.52329358652	2.803528562892005E+5        	58803.70629379561
 	45106.85102645432	2.871372518277094E+5        	59044.67020300315
 	50106.85102645432	2.933553901607096E+5        	59248.83484138843
 	55106.85102645432	2.989997844935134E+5        	59418.6037874194
 	60106.85102645432	3.041675680966899E+5        	59567.01182980329
 	65106.85102645432	3.089327578857094E+5        	59691.13560931785
 	70106.85102645433	3.133540453256741E+5        	59792.19758321771
 	75106.85102645433	3.174768655563518E+5        	59875.03936948417
 	80106.85102645433	3.213383073145226E+5        	59939.70486130513
 	85106.85102645433	3.249693773889244E+5        	59986.58847398016
 	90106.85102645433	3.283956465742812E+5        	60017.39981493745
 	95106.85102645433	3.316378854365647E+5        	60027.73987946034
 	1.001068510264543E+5        	3.347142317749038E+5        	60027.31659767705
 	1.051068510264543E+5        	3.376402505483255E+5        	60009.87541661837
 	1.101068510264543E+5        	3.404292795361802E+5        	59989.60604223402
 	1.151068510264543E+5        	3.430933054947257E+5        	59961.32710442411
 	1.201068510264543E+5        	3.456426683679745E+5        	59920.61210320026
 	1.251068510264543E+5        	3.480864791822359E+5        	59872.69256748897
 	1.301068510264543E+5        	3.504328075345606E+5        	59821.64740511242
 	1.351068510264543E+5        	3.526875673795417E+5        	59770.54953826778
 	1.401068510264543E+5        	3.548580833845437E+5        	59720.1272307831
 	1.451068510264543E+5        	3.569509731161073E+5        	59672.27780508623
 	1.501068510264543E+5        	3.589716119413599E+5        	59620.37183584093
 	1.551068510264543E+5        	3.609248372232392E+5        	59573.46546904078
 	1.601068510264543E+5        	3.628150176343471E+5        	59526.92708400411
 	1.651068510264543E+5        	3.646461116748303E+5        	59488.94516195002
 	1.701068510264543E+5        	3.664188327863142E+5        	59460.88746935771
 	1.751068510264543E+5        	3.681392228822932E+5        	59440.96529889693
 	1.801068510264543E+5        	3.698110523779914E+5        	59429.33646440485
 	1.851068510264543E+5        	3.714372959210798E+5        	59426.66097801003
 	1.901068510264543E+5        	3.730206656160131E+5        	59440.00695089351
 	1.951068510264543E+5        	3.745636405987293E+5        	59448.3670023506
 	2.001068510264543E+5        	3.760684926078171E+5        	59484.53122889961
 	2.051068510264543E+5        	3.775373081796989E+5        	59511.92018362933
 	2.101068510264543E+5        	3.789708904124797E+5        	59576.7044600126
 	2.151068510264543E+5        	3.803692302803174E+5        	59623.42655116493
 	2.201068510264544E+5        	3.817372697190866E+5        	59715.9111142081
 	2.301068510264543E+5        	3.843892009277865E+5        	59897.6743637577
 	2.401068510264543E+5        	3.869388931152895E+5        	60130.51556374603
 	2.501068510264543E+5        	3.893967521331385E+5        	60428.55146752844
 	2.601068510264543E+5        	3.917717074265778E+5        	60762.68733857082
 	2.701068510264544E+5        	3.940660152009503E+5        	61151.47867011525
 	2.801068510264544E+5        	3.962908370885179E+5        	61590.35671987922
 	2.901068510264544E+5        	3.984550524959639E+5        	62109.78943575003
 	3.001068510264544E+5        	4.005645346809104E+5        	62645.25895195507
 	3.101068510264544E+5        	4.026243909498751E+5        	63235.37117340371
 	3.201068510264544E+5        	4.046390821572617E+5        	63898.78031829996
 	3.301068510264544E+5        	4.06612520712167E+5        	64568.11794023545
 	3.401068510264544E+5        	4.085429896091595E+5        	65282.4697513979
 	3.501068510264544E+5        	4.104389186239839E+5        	66034.99033011953
 	3.601068510264544E+5        	4.123038970741704E+5        	66823.60253890952
 	3.701068510264544E+5        	4.141407013918012E+5        	67646.9706322267
 	3.801068510264544E+5        	4.159517852379829E+5        	68518.67414321051
 	3.901068510264544E+5        	4.177393229979128E+5        	69437.48631901243
 	4.001068510264544E+5        	4.195052466096655E+5        	70381.85128544256
 	4.101068510264544E+5        	4.212512768717259E+5        	71300.86222238053
